id;parent;department_id;code;title;calendar
316155;;3800000010000002462;3800000010000002462;Министерство здравоохранения Иркутской области;180731844
316156;;3800000010000000859;3800000010000000859;Министерство имущественных отношений Иркутской области;180731844
316157;;3800000010000265531;3800000010000265531;Министерство культуры и архивов Иркутской области ;180731844
316158;;3800000010000000806;3800000010000000806;Министерство образования Иркутской области;180731844
316159;;3800000010000001365;3800000010000001365;Министерство спорта Иркутской области;180731844
316160;;10000001086;10000001086;Министерство связи и массовых коммуникаций Российской Федерации;180731844
316161;316160;10000002842;10000002842;Федеральная служба по надзору в сфере связи, информационных технологий и массовых коммуникаций;180731844
316162;316160;10000001076;10000001076;Федеральное агентство связи;180731844
316163;316160;10000001094;10000001094;Федеральное агентство по печати и массовым коммуникациям;180731844
316164;;3800000010000000672;3800000010000000672;Министерство социального развития, опеки и попечительства Иркутской области;180731844
316165;;3800000010000001894;3800000010000001894;Министерство строительства, дорожного хозяйства Иркутской области;180731844
316166;;10000001194;10000001194;Министерство транспорта Российской Федерации;180731844
316167;316166;10000000964;10000000964;Федеральная служба по надзору в сфере транспорта;180731844
316168;316166;10000001251;10000001251;Федеральное агентство воздушного транспорта;180731844
316169;316166;10000001005;10000001005;Федеральное дорожное агентство;180731844
316170;;3800000010000279582;3800000010000279582;Министерство экономического развития Иркутской области;180731844
316171;;10000000982;10000000982;Министерство энергетики Российской Федерации;180731844
316172;;10000001275;10000001275;Министерство юстиции Российской Федерации;180731844
316173;316172;10000001012;10002962282;Управление Федеральной службы судебных приставов по Иркутской области;180731844
316174;316172;10000001014;10000001014;Федеральная служба исполнения наказаний;180731844
316175;;3800000010000281198;3800000010000281198;Служба ветеринарии Иркутской области;180731844
316176;;3800000010000000083;3800000010000000083;Служба государственного надзора за техническим состоянием самоходных машин и других видов техники Иркутской области.;180731844
316177;;3800000010000000710;3800000010000000710;Министерство труда и занятости Иркутской области;180731844
316178;;3800000010000000478;3800000010000000478;Служба по контролю и надзору в сфере образования Иркутской области;180731844
316179;;3800000010000275731;3800000010000275731;Служба по охране и использованию животного мира Иркутской области;180731844
316180;;3800000010000001255;3800000010000001255;Служба по охране объектов культурного наследия Иркутской области;180731844
316181;;3800000010000000116;3800000010000000116;Служба потребительского рынка и лицензирования Иркутской области;180731844
316182;;10000000993;10000000993;Министерство спорта, туризма и молодежной политики Российской Федерации;180731844
316183;316182;10000001063;10000001063;Федеральное агентство по туризму;180731844
316184;;10000001060;10000001060;Федеральная служба по финансовому мониторингу (федеральная служба);180731844
316185;;10000001083;10000001083;Министерство промышленности и торговли Российской Федерации;180731844
316186;;10000001179;10000001179;Федеральная служба безопасности Российской Федерации (федеральная служба);180731844
316187;;10000001204;10000001204;Федеральная служба по оборонному заказу;180731844
316188;;10000014611;10000014611;Федеральная антимонопольная служба;180731844
316189;;10000001232;10000001232;Федеральная служба государственной статистики;180731844
316191;;3800000010000001732;38841630;Агентство лесного хозяйства Иркутской области.;180731844
316192;316166;10000001237;10000001237;Федеральное агентство железнодорожного транспорта;180731844
319067;;3800000010000000342;3800000010000000342;Служба записи актов гражданского состояния  Иркутской области;180731844
343587;;1;3800000010000153357;Администрация Байкальского городского поселения;180731844
578270;;2;2;Администрация Слюдянского городского поселения;180731844
578291;;3;3800000010000082792;Администрация  муниципального образования Слюдянский район;180731844
871531;;0000001;3800000010000013069;Администрация муниципального образования Баяндаевский район;180731844
1004847;;5;3800000010000000662;Администрация муниципального образования города Братска;180731844
2405737;;10000002895;10000002895;Федеральное агентство по управлению государственным имуществом;180731844
2527814;;6;6;Платные услуги МФЦ г. Ангарска (отдел № 1);180731844
5428081;;10000001195;3800000010000278447;Министерство природных ресурсов и экологии Иркутской области;180731844
6920219;;10000001079;3800000010000028429;Администрация Ангарского городского округа;180731844
9315713;;10001742404;10001742620;Филиал федерального Государственного бюджетного учреждения "Федеральная кадастровая палата Федеральной службы государственной регистрации кадастра и картографии по Иркутской области;180731844
9447417;;10000001031;10001013439;Восточно-Сибирский территориальный отдел Управления Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека по железнодорожному транспорту;180731844
